step_arrived;step_collisions;step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_stopped;step_teleports;step_time;step_waiting
0;0;1623062798371;0;0;0;1;-1.00;-1.00;-1.00;-1.00;0;0;0;0.00;0
0;0;1623062798371;0;0;1;139;29.45;1.06;-1.00;1.00;1;0;0;1.00;0
0;0;1623062798377;0;0;1;139;28.29;1.02;-1.00;1.00;1;0;0;2.00;0
0;0;1623062798377;0;0;2;139;26.40;0.95;-1.00;1.00;2;0;0;3.00;0
0;0;1623062798377;0;0;2;139;23.69;0.85;-1.00;1.00;2;0;0;4.00;0
0;0;1623062798378;0;0;3;139;23.94;0.86;-1.00;1.00;3;0;0;5.00;0
0;0;1623062798378;0;0;3;139;20.73;0.75;-1.00;1.00;3;0;0;6.00;0
0;0;1623062798378;0;0;3;139;16.46;0.59;-1.00;1.00;3;0;0;7.00;0
0;0;1623062798378;0;0;3;139;12.08;0.43;-1.00;1.00;3;0;0;8.00;0
0;0;1623062798378;0;1;3;139;8.45;0.30;-1.00;1.00;3;0;0;9.00;0
0;0;1623062798378;0;1;3;139;6.33;0.23;-1.00;1.00;3;0;0;10.00;0
0;0;1623062798378;0;1;4;139;11.01;0.40;-1.00;1.00;4;0;0;11.00;0
0;0;1623062798378;0;1;7;139;17.52;0.63;-1.00;1.00;7;0;0;12.00;0
0;0;1623062798378;0;1;7;139;17.05;0.61;-1.00;1.00;7;0;0;13.00;0
0;0;1623062798378;0;1;7;139;16.13;0.58;-1.00;1.00;7;0;0;14.00;0
0;0;1623062798379;0;2;9;139;16.80;0.60;-1.00;1.00;9;0;0;15.00;0
0;0;1623062798379;0;2;10;139;16.59;0.60;-1.00;1.00;10;0;0;16.00;0
0;0;1623062798379;0;2;12;139;17.83;0.64;-1.00;1.00;12;0;0;17.00;0
0;0;1623062798379;0;2;12;139;16.49;0.59;-1.00;1.00;12;0;0;18.00;0
0;0;1623062798379;0;2;14;139;16.77;0.60;-1.00;1.00;14;0;0;19.00;0
0;0;1623062798379;0;3;16;139;17.24;0.62;-1.00;1.00;16;0;0;20.00;0
0;0;1623062798379;0;3;16;139;15.93;0.57;-1.00;1.00;16;0;0;21.00;0
0;0;1623062798379;0;3;17;139;15.26;0.55;-1.00;1.00;17;0;0;22.00;0
1;0;1623062798380;1;3;18;139;14.13;0.51;20.00;1.00;17;0;0;23.00;0
1;0;1623062798380;1;3;20;139;14.58;0.52;20.00;1.00;19;0;0;24.00;0
1;0;1623062798380;1;3;21;139;14.66;0.53;20.00;1.00;20;0;0;25.00;0
1;0;1623062798380;1;4;22;139;14.18;0.51;20.00;1.00;21;0;0;26.00;0
1;0;1623062798380;1;7;22;139;13.49;0.49;20.00;1.00;21;0;0;27.00;0
1;0;1623062798381;1;4;22;139;13.10;0.47;20.00;1.00;21;0;0;28.00;0
3;0;1623062798381;3;3;22;139;11.33;0.41;16.67;1.00;19;0;0;29.00;0
3;0;1623062798381;3;2;22;139;11.25;0.41;16.67;1.00;19;0;0;30.00;0
3;0;1623062798381;3;3;22;139;11.34;0.41;16.67;1.00;19;0;0;31.00;0
4;0;1623062798381;4;3;22;139;10.72;0.39;17.50;1.00;18;0;0;32.00;0
4;0;1623062798381;4;4;23;139;11.86;0.43;17.50;1.00;19;0;0;33.00;0
4;0;1623062798382;4;3;23;139;12.56;0.45;17.50;1.00;19;0;0;34.00;0
4;0;1623062798382;4;4;24;139;13.81;0.50;17.50;0.96;20;0;0;35.00;0
4;0;1623062798382;4;4;24;139;13.97;0.50;17.50;0.96;20;0;0;36.00;0
4;0;1623062798382;4;4;26;139;14.65;0.53;17.50;0.96;22;0;0;37.00;0
4;0;1623062798382;4;4;28;139;15.44;0.56;17.50;0.96;24;0;0;38.00;0
5;0;1623062798383;5;4;28;139;15.21;0.55;21.60;0.96;23;0;0;39.00;0
5;0;1623062798383;5;4;29;139;15.41;0.55;21.60;0.97;24;0;0;40.00;0
5;0;1623062798383;5;5;29;139;15.65;0.56;21.60;0.97;24;0;0;41.00;0
5;0;1623062798383;5;5;29;139;15.16;0.55;21.60;0.97;24;0;0;42.00;0
7;0;1623062798384;7;5;30;139;13.89;0.50;23.29;0.97;23;0;0;43.00;0
7;0;1623062798384;7;2;30;139;13.31;0.48;23.29;0.97;23;0;0;44.00;0
7;0;1623062798384;7;2;31;139;13.48;0.49;23.29;0.97;24;0;0;45.00;0
7;0;1623062798384;7;3;31;139;13.09;0.47;23.29;0.97;24;0;0;46.00;0
