step_arrived;step_collisions;step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_stopped;step_teleports;step_time;step_waiting
0;0;1623138140886;0;0;0;1;-1.00;-1.00;-1.00;-1.00;0;0;0;0.00;0
0;0;1623138140986;0;0;1;103;29.45;1.06;-1.00;1.00;1;0;0;1.00;0
0;0;1623138141087;0;0;1;103;28.29;1.02;-1.00;1.00;1;0;0;2.00;0
0;0;1623138141187;0;0;2;103;26.40;0.95;-1.00;1.00;2;0;0;3.00;0
0;0;1623138141288;0;0;2;103;23.69;0.85;-1.00;1.00;2;0;0;4.00;0
0;0;1623138141387;0;0;3;103;23.94;0.86;-1.00;1.00;3;0;0;5.00;0
0;0;1623138141488;0;0;3;103;20.73;0.75;-1.00;1.00;3;0;0;6.00;0
0;0;1623138141587;0;0;3;103;16.58;0.60;-1.00;1.00;3;0;0;7.00;0
0;0;1623138141688;0;0;3;103;12.16;0.44;-1.00;1.00;3;0;0;8.00;0
0;0;1623138141788;0;1;3;103;8.52;0.31;-1.00;1.00;3;0;0;9.00;0
0;0;1623138141888;0;1;3;103;5.65;0.20;-1.00;1.00;3;0;0;10.00;0
0;0;1623138141988;0;1;3;103;3.85;0.14;-1.00;1.00;3;0;0;11.00;0
0;0;1623138142088;0;1;4;103;10.49;0.38;-1.00;1.00;4;0;0;12.00;0
0;0;1623138142188;0;1;4;103;9.53;0.34;-1.00;1.00;4;0;0;13.00;0
0;0;1623138142288;0;1;4;103;8.48;0.31;-1.00;1.00;4;0;0;14.00;0
0;0;1623138142389;0;2;5;103;11.77;0.42;-1.00;1.00;5;0;0;15.00;0
0;0;1623138142488;0;2;5;103;11.26;0.41;-1.00;1.00;5;0;0;16.00;0
0;0;1623138142589;0;2;7;103;15.38;0.55;-1.00;1.00;7;0;0;17.00;0
0;0;1623138142688;0;2;7;103;14.97;0.54;-1.00;1.00;7;0;0;18.00;0
0;0;1623138142789;0;2;9;103;16.71;0.60;-1.00;1.00;9;0;0;19.00;0
0;0;1623138142888;0;2;10;103;17.04;0.61;-1.00;1.00;10;0;0;20.00;0
0;0;1623138142989;0;2;10;103;16.39;0.59;-1.00;1.00;10;0;0;21.00;0
0;0;1623138143089;0;2;11;103;16.93;0.61;-1.00;1.00;11;0;0;22.00;0
1;0;1623138143189;1;2;12;103;16.56;0.60;20.00;1.00;11;0;0;23.00;0
