step_arrived;step_collisions;step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_stopped;step_teleports;step_time;step_waiting
0;0;1623226846341;0;0;0;1;-1.00;-1.00;-1.00;-1.00;0;0;0;0.00;0
0;0;1623226846441;0;0;1;111;29.45;1.06;-1.00;1.00;1;0;0;1.00;0
0;0;1623226846541;0;0;1;111;28.29;1.02;-1.00;1.00;1;0;0;2.00;0
0;0;1623226846640;0;0;2;111;26.40;0.95;-1.00;1.00;2;0;0;3.00;0
0;0;1623226846741;0;0;2;111;23.69;0.85;-1.00;1.00;2;0;0;4.00;0
0;0;1623226846842;0;0;3;111;23.94;0.86;-1.00;1.00;3;0;0;5.00;0
0;0;1623226846942;0;0;3;111;20.73;0.75;-1.00;1.00;3;0;0;6.00;0
0;0;1623226847042;0;0;3;111;16.58;0.60;-1.00;1.00;3;0;0;7.00;0
0;0;1623226847142;0;0;3;111;12.16;0.44;-1.00;1.00;3;0;0;8.00;0
0;0;1623226847242;0;1;3;111;8.52;0.31;-1.00;1.00;3;0;0;9.00;0
0;0;1623226847341;0;1;3;111;5.65;0.20;-1.00;1.00;3;0;0;10.00;0
0;0;1623226847441;0;1;4;111;10.40;0.37;-1.00;1.00;4;0;0;11.00;0
0;0;1623226847542;0;1;6;111;15.51;0.56;-1.00;1.00;6;0;0;12.00;0
0;0;1623226847643;0;1;6;111;13.99;0.50;-1.00;1.00;6;0;0;13.00;0
0;0;1623226847743;0;1;6;111;13.77;0.50;-1.00;1.00;6;0;0;14.00;0
0;0;1623226847843;0;2;7;111;15.00;0.54;-1.00;1.00;7;0;0;15.00;0
0;0;1623226847943;0;2;7;111;14.07;0.51;-1.00;1.00;7;0;0;16.00;0
0;0;1623226848043;0;2;9;111;16.28;0.59;-1.00;1.00;9;0;0;17.00;0
0;0;1623226848143;0;2;9;111;14.99;0.54;-1.00;1.00;9;0;0;18.00;0
0;0;1623226848243;0;2;11;111;16.17;0.58;-1.00;1.00;11;0;0;19.00;0
0;0;1623226848343;0;2;12;111;16.01;0.58;-1.00;1.00;12;0;0;20.00;0
0;0;1623226848443;0;2;12;111;14.97;0.54;-1.00;1.00;12;0;0;21.00;0
0;0;1623226848543;0;2;13;111;15.78;0.57;-1.00;1.00;13;0;0;22.00;0
1;0;1623226848643;1;2;14;111;15.73;0.57;20.00;1.00;13;0;0;23.00;0
1;0;1623226848743;1;2;16;111;16.19;0.58;20.00;1.00;15;0;0;24.00;0
1;0;1623226848843;1;3;17;111;15.91;0.57;20.00;1.00;16;0;0;25.00;0
1;0;1623226848943;1;2;18;111;16.54;0.60;20.00;1.00;17;0;0;26.00;0
1;0;1623226849042;1;3;18;111;16.11;0.58;20.00;1.00;17;0;0;27.00;0
1;0;1623226849142;1;3;18;111;15.69;0.56;20.00;1.00;17;0;0;28.00;0
1;0;1623226849243;1;3;18;111;15.94;0.57;20.00;1.00;17;0;0;29.00;0
1;0;1623226849344;1;5;18;111;16.12;0.58;20.00;1.00;17;0;0;30.00;0
2;0;1623226849444;2;5;18;111;15.73;0.57;19.50;1.00;16;0;0;31.00;0
2;0;1623226849544;2;5;18;111;15.75;0.57;19.50;1.00;16;0;0;32.00;0
2;0;1623226849644;2;6;19;111;15.83;0.57;19.50;1.00;17;0;0;33.00;0
2;0;1623226849744;2;6;19;111;15.76;0.57;19.50;1.00;17;0;0;34.00;0
2;0;1623226849844;2;6;20;111;16.60;0.60;19.50;0.95;18;0;0;35.00;0
2;0;1623226849944;2;6;20;111;16.35;0.59;19.50;0.95;18;0;0;36.00;0
3;0;1623226850044;3;6;21;111;16.21;0.58;19.00;0.95;18;0;0;37.00;0
4;0;1623226850144;4;6;24;111;17.16;0.62;17.75;0.96;20;0;0;38.00;0
4;0;1623226850243;4;6;24;111;16.61;0.60;17.75;0.96;20;0;0;39.00;0
4;0;1623226850343;4;7;25;111;16.03;0.58;17.75;0.96;21;0;0;40.00;0
4;0;1623226850443;4;7;25;111;15.33;0.55;17.75;0.96;21;0;0;41.00;0
4;0;1623226850543;4;7;25;111;13.93;0.50;17.75;0.96;21;0;0;42.00;0
4;0;1623226850643;4;7;25;111;12.56;0.45;17.75;0.96;21;0;0;43.00;0
4;0;1623226850743;4;7;25;111;11.27;0.41;17.75;0.96;21;0;0;44.00;0
5;0;1623226850843;5;4;26;111;10.22;0.37;21.00;0.96;21;0;0;45.00;0
5;0;1623226850943;5;3;26;111;9.64;0.35;21.00;0.96;21;0;0;46.00;0
5;0;1623226851043;5;3;27;111;9.96;0.36;21.00;0.96;22;0;0;47.00;0
5;0;1623226851143;5;3;28;111;10.88;0.39;21.00;0.96;23;0;0;48.00;0
5;0;1623226851243;5;2;28;111;11.13;0.40;21.00;0.96;23;0;0;49.00;0
5;0;1623226851343;5;1;30;111;12.89;0.46;21.00;0.97;25;0;0;50.00;0
5;0;1623226851443;5;1;30;111;12.95;0.47;21.00;0.97;25;0;0;51.00;0
6;0;1623226851543;6;4;31;111;12.99;0.47;24.17;0.97;25;0;0;52.00;0
6;0;1623226851643;6;4;31;111;12.89;0.46;24.17;0.97;25;0;0;53.00;0
6;0;1623226851743;6;3;32;111;13.18;0.47;24.17;0.97;26;0;0;54.00;0
6;0;1623226851843;6;3;33;111;13.39;0.48;24.17;0.97;27;0;0;55.00;0
6;0;1623226851943;6;3;36;111;14.92;0.54;24.17;0.97;30;0;0;56.00;0
8;0;1623226852043;8;2;36;111;14.32;0.52;30.12;0.97;28;0;0;57.00;0
8;0;1623226852143;8;4;36;111;13.88;0.50;30.12;0.97;28;0;0;58.00;0
8;0;1623226852243;8;5;36;111;13.33;0.48;30.12;0.97;28;0;0;59.00;0
8;0;1623226852343;8;7;38;111;14.23;0.51;30.12;0.97;30;0;0;60.00;0
8;0;1623226852443;8;8;38;111;14.28;0.51;30.12;0.97;30;0;0;61.00;0
8;0;1623226852543;8;9;38;111;14.40;0.52;30.12;0.97;30;0;0;62.00;0
9;0;1623226852643;9;10;38;111;14.27;0.51;31.89;0.97;29;0;0;63.00;0
9;0;1623226852743;9;10;39;111;15.04;0.54;31.89;0.97;30;0;0;64.00;0
11;0;1623226852843;11;10;40;111;14.79;0.53;33.45;0.97;29;0;0;65.00;0
11;0;1623226852943;11;9;41;111;15.58;0.56;33.45;0.98;30;0;0;66.00;0
11;0;1623226853043;11;8;42;111;15.94;0.57;33.45;0.98;31;0;0;67.00;0
12;0;1623226853143;12;7;42;111;15.77;0.57;34.25;0.98;30;0;0;68.00;0
12;0;1623226853237;12;7;42;111;15.73;0.57;34.25;0.98;30;0;0;69.00;0
15;0;1623226853300;15;6;42;111;14.17;0.51;34.40;0.98;27;0;0;70.00;0
15;0;1623226853335;15;4;44;111;14.32;0.52;34.40;0.98;29;0;0;71.00;0
15;0;1623226853336;15;5;44;111;14.08;0.51;34.40;0.98;29;0;0;72.00;0
16;0;1623226853337;16;6;45;111;13.63;0.49;35.88;0.98;29;0;0;73.00;0
18;0;1623226853337;18;5;46;111;12.80;0.46;35.89;0.98;28;0;0;74.00;0
18;0;1623226853338;18;6;46;111;12.27;0.44;35.89;0.98;28;0;0;75.00;0
20;0;1623226853338;20;8;46;111;10.49;0.38;38.45;0.98;26;0;0;76.00;0
22;0;1623226853339;22;11;48;111;9.84;0.35;40.09;0.98;26;0;0;77.00;0
22;0;1623226853339;22;11;50;111;10.60;0.38;40.09;0.98;28;0;0;78.00;0
22;0;1623226853340;22;12;50;111;10.19;0.37;40.09;0.98;28;0;0;79.00;0
22;0;1623226853341;22;12;50;111;9.91;0.36;40.09;0.98;28;0;0;80.00;0
23;0;1623226853341;23;13;51;111;9.41;0.34;39.70;0.98;28;0;0;81.00;0
23;0;1623226853341;23;11;52;111;9.45;0.34;39.70;0.98;29;0;0;82.00;0
24;0;1623226853342;24;11;52;111;8.85;0.32;39.62;0.98;28;0;0;83.00;0
24;0;1623226853342;24;11;52;111;8.36;0.30;39.62;0.98;28;0;0;84.00;0
24;0;1623226853343;24;13;52;111;7.71;0.28;39.62;0.98;28;0;0;85.00;0
25;0;1623226853343;25;12;52;111;6.47;0.23;39.24;0.98;27;0;0;86.00;0
25;0;1623226853344;25;11;52;111;5.96;0.21;39.24;0.98;27;0;0;87.00;0
26;0;1623226853344;26;13;52;111;4.83;0.17;39.12;0.98;26;0;0;88.00;0
26;0;1623226853345;26;15;54;111;6.15;0.22;39.12;0.98;28;0;0;89.00;0
26;0;1623226853346;26;10;56;111;7.53;0.27;39.12;0.98;30;0;0;90.00;0
26;0;1623226853346;26;8;57;111;8.20;0.30;39.12;0.98;31;0;0;91.00;0
26;0;1623226853347;26;8;57;111;8.23;0.30;39.12;0.98;31;0;0;92.00;0
28;0;1623226853347;28;9;58;111;7.60;0.27;39.46;0.98;30;0;0;93.00;0
28;0;1623226853348;28;11;58;111;7.04;0.25;39.46;0.98;30;0;0;94.00;0
28;0;1623226853348;28;12;60;111;7.87;0.28;39.46;0.98;32;0;0;95.00;0
29;0;1623226853349;29;14;61;111;7.95;0.29;40.10;0.98;32;0;0;96.00;0
29;0;1623226853349;29;15;61;111;7.79;0.28;40.10;0.98;32;0;0;97.00;0
29;0;1623226853349;29;15;61;111;7.81;0.28;40.10;0.98;32;0;0;98.00;0
29;0;1623226853350;29;16;61;111;7.64;0.28;40.10;0.98;32;0;0;99.00;0
29;0;1623226853350;29;16;61;111;7.72;0.28;40.10;0.98;32;0;0;100.00;0
29;0;1623226853351;29;16;62;111;8.77;0.32;40.10;0.98;33;0;0;101.00;0
29;0;1623226853351;29;16;64;111;9.90;0.36;40.10;0.98;35;0;0;102.00;0
32;0;1623226853351;32;16;64;111;8.80;0.32;40.09;0.98;32;0;0;103.00;0
33;0;1623226853352;33;17;66;111;9.41;0.34;40.39;0.98;33;0;0;104.00;0
34;0;1623226853353;34;17;66;111;9.16;0.33;40.88;0.98;32;0;0;105.00;0
36;0;1623226853353;36;16;68;111;9.30;0.33;40.33;0.99;32;0;0;106.00;0
36;0;1623226853353;36;15;69;111;10.01;0.36;40.33;0.99;33;0;0;107.00;0
36;0;1623226853354;36;14;70;111;10.44;0.38;40.33;0.99;34;0;0;108.00;0
37;0;1623226853354;37;14;73;111;11.57;0.42;39.78;0.99;36;0;0;109.00;0
38;0;1623226853355;38;15;73;111;11.08;0.40;39.89;0.99;35;0;0;110.00;0
38;0;1623226853355;38;15;74;111;11.28;0.41;39.89;0.99;36;0;0;111.00;0
39;0;1623226853355;39;15;74;111;10.56;0.38;39.92;0.99;35;0;0;112.00;0
39;0;1623226853356;39;15;74;111;9.95;0.36;39.92;0.99;35;0;0;113.00;0
39;0;1623226853356;39;16;75;111;10.17;0.37;39.92;0.99;36;0;0;114.00;0
39;0;1623226853357;39;17;76;111;10.26;0.37;39.92;0.99;37;0;0;115.00;0
39;0;1623226853357;39;18;76;111;10.13;0.36;39.92;0.99;37;0;0;116.00;0
