step_arrived;step_collisions;step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_stopped;step_teleports;step_time;step_waiting
0;0;1623290714085;0;0;0;1;-1.00;-1.00;-1.00;-1.00;0;0;0;0.00;0
0;0;1623290714184;0;0;1;176;29.45;1.06;-1.00;1.00;1;0;0;1.00;0
0;0;1623290714284;0;0;2;176;27.18;0.98;-1.00;1.00;2;0;0;2.00;0
0;0;1623290714384;0;0;3;176;26.76;0.96;-1.00;1.00;3;0;0;3.00;0
0;0;1623290714485;0;0;3;176;24.89;0.90;-1.00;1.00;3;0;0;4.00;0
0;0;1623290714586;0;0;5;176;25.42;0.92;-1.00;1.00;5;0;0;5.00;0
0;0;1623290714686;0;0;5;176;23.43;0.84;-1.00;1.00;5;0;0;6.00;0
0;0;1623290714786;0;0;5;176;20.77;0.75;-1.00;1.00;5;0;0;7.00;0
0;0;1623290714886;0;0;6;176;18.99;0.68;-1.00;1.00;6;0;0;8.00;0
0;0;1623290714986;0;1;6;176;16.91;0.61;-1.00;1.00;6;0;0;9.00;0
0;0;1623290715086;0;1;6;176;15.91;0.57;-1.00;1.00;6;0;0;10.00;0
0;0;1623290715186;0;1;7;176;16.58;0.60;-1.00;0.86;7;0;0;11.00;0
0;0;1623290715285;0;1;10;176;18.47;0.66;-1.00;0.90;10;0;0;12.00;0
0;0;1623290715385;0;2;10;176;18.10;0.65;-1.00;0.90;10;0;0;13.00;0
0;0;1623290715485;0;3;10;176;17.65;0.64;-1.00;0.90;10;0;0;14.00;0
0;0;1623290715586;0;3;11;176;18.62;0.67;-1.00;0.91;11;0;0;15.00;0
1;0;1623290715686;1;3;12;176;18.46;0.66;14.00;0.92;11;0;0;16.00;0
1;0;1623290715787;1;3;14;176;19.69;0.71;14.00;0.93;13;0;0;17.00;0
2;0;1623290715887;2;2;14;176;18.57;0.67;13.50;0.93;12;0;0;18.00;0
2;0;1623290715987;2;1;17;176;19.94;0.72;13.50;0.94;15;0;0;19.00;0
2;0;1623290716087;2;1;18;176;19.81;0.71;13.50;0.94;16;0;0;20.00;0
2;0;1623290716188;2;2;18;176;18.56;0.67;13.50;0.94;16;0;0;21.00;0
2;0;1623290716289;2;2;19;176;17.89;0.64;13.50;0.95;17;0;0;22.00;0
2;0;1623290716390;2;3;21;176;18.05;0.65;13.50;0.95;19;0;0;23.00;0
4;0;1623290716491;4;3;23;176;16.90;0.61;14.00;0.96;19;0;0;24.00;0
4;0;1623290716591;4;4;24;176;16.24;0.58;14.00;0.96;20;0;0;25.00;0
4;0;1623290716691;4;4;26;176;16.38;0.59;14.00;0.96;22;0;0;26.00;0
5;0;1623290716791;5;4;26;176;14.84;0.53;13.60;0.96;21;0;0;27.00;0
5;0;1623290716891;5;4;27;176;14.53;0.52;13.60;0.96;22;0;0;28.00;0
5;0;1623290716991;5;4;27;176;14.13;0.51;13.60;0.96;22;0;0;29.00;0
6;0;1623290717092;6;6;27;176;13.05;0.47;15.83;0.96;21;0;0;30.00;0
6;0;1623290717190;6;7;28;176;13.04;0.47;15.83;0.96;22;0;0;31.00;0
6;0;1623290717235;6;8;28;176;12.07;0.43;15.83;0.96;22;0;0;32.00;0
6;0;1623290717245;6;9;29;176;12.11;0.44;15.83;0.97;23;0;0;33.00;0
7;0;1623290717252;7;9;29;176;10.77;0.39;15.14;0.97;22;0;0;34.00;0
7;0;1623290717255;7;9;29;176;10.16;0.37;15.14;0.97;22;0;0;35.00;0
8;0;1623290717259;8;9;29;176;8.52;0.31;15.00;0.97;21;0;0;36.00;0
8;0;1623290717260;8;10;32;176;10.48;0.38;15.00;0.97;24;0;0;37.00;0
8;0;1623290717261;8;10;35;176;12.23;0.44;15.00;0.97;27;0;0;38.00;0
8;0;1623290717261;8;11;35;176;11.68;0.42;15.00;0.97;27;0;0;39.00;0
8;0;1623290717262;8;11;36;176;11.52;0.41;15.00;0.97;28;0;0;40.00;0
8;0;1623290717262;8;12;36;176;10.99;0.40;15.00;0.97;28;0;0;41.00;0
8;0;1623290717263;8;11;36;176;10.25;0.37;15.00;0.97;28;0;0;42.00;0
9;0;1623290717263;9;11;37;176;9.90;0.36;15.44;0.97;28;0;0;43.00;0
9;0;1623290717264;9;11;37;176;9.42;0.34;15.44;0.97;28;0;0;44.00;0
9;0;1623290717265;9;7;38;176;10.17;0.37;15.44;0.97;29;0;0;45.00;0
9;0;1623290717265;9;7;38;176;10.09;0.36;15.44;0.97;29;0;0;46.00;0
9;0;1623290717266;9;6;40;176;11.48;0.41;15.44;0.97;31;0;0;47.00;0
9;0;1623290717266;9;5;41;176;11.90;0.43;15.44;0.98;32;0;0;48.00;0
10;0;1623290717267;10;8;41;176;11.06;0.40;17.60;0.98;31;0;0;49.00;0
11;0;1623290717267;11;7;45;176;12.19;0.44;19.00;0.98;34;0;0;50.00;0
11;0;1623290717267;11;8;45;176;11.84;0.43;19.00;0.98;34;0;0;51.00;0
11;0;1623290717268;11;10;46;176;11.93;0.43;19.00;0.98;35;0;0;52.00;0
11;0;1623290717268;11;13;47;176;12.23;0.44;19.00;0.98;36;0;0;53.00;0
11;0;1623290717269;11;13;49;176;12.65;0.46;19.00;0.98;38;0;0;54.00;0
11;0;1623290717270;11;12;50;176;12.67;0.46;19.00;0.98;39;0;0;55.00;0
12;0;1623290717271;12;10;54;176;13.73;0.49;22.00;0.98;42;0;0;56.00;0
12;0;1623290717271;12;9;56;176;14.01;0.50;22.00;0.98;44;0;0;57.00;0
14;0;1623290717272;14;8;56;176;12.79;0.46;24.36;0.98;42;0;0;58.00;0
15;0;1623290717273;15;8;58;176;12.59;0.45;24.93;0.98;43;0;0;59.00;0
15;0;1623290717273;15;9;60;176;12.63;0.45;24.93;0.98;45;0;0;60.00;0
15;0;1623290717274;15;9;61;176;12.65;0.46;24.93;0.98;46;0;0;61.00;0
15;0;1623290717275;15;10;61;176;12.06;0.43;24.93;0.98;46;0;0;62.00;0
15;0;1623290717275;15;8;61;176;11.79;0.42;24.93;0.98;46;0;0;63.00;0
16;0;1623290717276;16;8;62;176;11.61;0.42;25.81;0.98;46;0;0;64.00;0
16;0;1623290717277;16;10;63;176;12.22;0.44;25.81;0.98;47;0;0;65.00;0
18;0;1623290717278;18;11;64;176;12.23;0.44;27.78;0.98;46;0;0;66.00;0
19;0;1623290717278;19;12;66;176;12.82;0.46;28.21;0.98;47;0;0;67.00;0
20;0;1623290717279;20;14;66;176;12.66;0.46;29.25;0.98;46;0;0;68.00;0
20;0;1623290717279;20;14;66;176;12.64;0.45;29.25;0.98;46;0;0;69.00;0
21;0;1623290717280;21;14;66;176;12.21;0.44;30.29;0.98;45;0;0;70.00;0
21;0;1623290717281;21;15;68;176;12.63;0.45;30.29;0.99;47;0;0;71.00;0
23;0;1623290717281;23;15;68;176;12.13;0.44;32.30;0.99;45;0;0;72.00;0
23;0;1623290717282;23;15;69;176;12.34;0.44;32.30;0.99;46;0;0;73.00;0
24;0;1623290717282;24;15;70;176;12.33;0.44;33.04;0.99;46;0;0;74.00;0
25;0;1623290717283;25;16;72;176;12.81;0.46;33.68;0.99;47;0;0;75.00;0
26;0;1623290717283;26;18;72;176;12.66;0.46;35.12;0.99;46;0;0;76.00;0
26;0;1623290717284;26;18;74;176;13.14;0.47;35.12;0.99;48;0;0;77.00;0
27;0;1623290717285;27;18;76;176;12.92;0.46;35.33;0.99;49;0;0;78.00;0
28;0;1623290717285;28;17;76;176;12.16;0.44;35.29;0.99;48;0;0;79.00;0
29;0;1623290717286;29;17;76;176;11.45;0.41;35.45;0.99;47;0;0;80.00;0
29;0;1623290717287;29;16;77;176;11.12;0.40;35.45;0.99;48;0;0;81.00;0
29;0;1623290717288;29;18;78;176;11.20;0.40;35.45;0.99;49;0;0;82.00;0
29;0;1623290717288;29;18;79;176;11.46;0.41;35.45;0.99;50;0;0;83.00;0
