step_arrived;step_collisions;step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_stopped;step_teleports;step_time;step_waiting
0;0;1623294494418;0;0;0;1;-1.00;-1.00;-1.00;-1.00;0;0;0;0.00;0
0;0;1623294494517;0;0;1;241;29.45;1.06;-1.00;1.00;1;0;0;1.00;0
0;0;1623294494617;0;0;1;241;28.84;1.04;-1.00;1.00;1;0;0;2.00;0
0;0;1623294494717;0;0;3;241;27.47;0.99;-1.00;1.00;3;0;0;3.00;0
0;0;1623294494817;0;0;5;241;28.06;1.01;-1.00;1.00;5;0;0;4.00;0
0;0;1623294494918;0;0;8;241;26.23;0.94;-1.00;1.00;8;0;0;5.00;0
0;0;1623294495017;0;0;10;241;24.25;0.87;-1.00;1.00;10;0;0;6.00;1
0;0;1623294495118;0;0;14;241;24.23;0.87;-1.00;1.07;14;0;0;7.00;0
0;0;1623294495217;0;0;14;241;23.13;0.83;-1.00;1.07;14;0;0;8.00;0
0;0;1623294495317;0;0;14;241;21.40;0.77;-1.00;1.07;14;0;0;9.00;0
0;0;1623294495418;0;0;14;241;19.69;0.71;-1.00;1.07;14;0;0;10.00;0
0;0;1623294495517;0;0;14;241;18.40;0.66;-1.00;1.07;14;0;0;11.00;0
0;0;1623294495617;0;0;15;241;18.39;0.66;-1.00;1.07;15;0;0;12.00;0
0;0;1623294495718;0;0;15;241;17.60;0.63;-1.00;1.07;15;0;0;13.00;0
0;0;1623294495817;0;1;15;241;16.95;0.61;-1.00;1.07;15;0;0;14.00;0
0;0;1623294495917;0;4;17;241;17.70;0.64;-1.00;1.06;17;0;0;15.00;1
0;0;1623294496018;0;4;18;241;17.93;0.65;-1.00;1.11;18;0;0;16.00;0
0;0;1623294496117;0;4;21;241;19.17;0.69;-1.00;1.10;21;0;0;17.00;0
0;0;1623294496209;0;4;21;241;18.95;0.68;-1.00;1.10;21;0;0;18.00;0
1;0;1623294496297;1;4;22;241;18.49;0.67;12.00;1.09;21;0;0;19.00;0
1;0;1623294496383;1;4;22;241;17.82;0.64;12.00;1.09;21;0;0;20.00;0
1;0;1623294496470;1;4;24;241;17.46;0.63;12.00;1.08;23;0;0;21.00;0
2;0;1623294496558;2;4;24;241;16.23;0.58;15.50;1.08;22;0;0;22.00;0
2;0;1623294496644;2;6;26;241;15.92;0.57;15.50;1.08;24;0;0;23.00;0
2;0;1623294496731;2;6;27;241;15.15;0.55;15.50;1.07;25;0;0;24.00;1
2;0;1623294496819;2;6;29;241;15.22;0.55;15.50;1.10;27;0;0;25.00;1
2;0;1623294496907;2;5;34;241;16.40;0.59;15.50;1.12;32;0;0;26.00;0
2;0;1623294496993;2;5;34;241;15.54;0.56;15.50;1.12;32;0;0;27.00;0
2;0;1623294497080;2;5;34;241;14.34;0.52;15.50;1.12;32;0;0;28.00;0
2;0;1623294497168;2;7;34;241;13.44;0.48;15.50;1.12;32;0;0;29.00;0
2;0;1623294497254;2;8;36;241;13.57;0.49;15.50;1.11;34;0;0;30.00;0
2;0;1623294497341;2;10;37;241;13.12;0.47;15.50;1.11;35;0;0;31.00;0
3;0;1623294497428;3;11;39;241;13.21;0.48;14.67;1.10;36;0;0;32.00;0
3;0;1623294497516;3;12;40;241;13.02;0.47;14.67;1.10;37;0;0;33.00;0
4;0;1623294497604;4;14;43;241;12.89;0.46;19.25;1.09;39;0;0;34.00;1
4;0;1623294497690;4;14;44;241;12.56;0.45;19.25;1.11;40;0;0;35.00;0
4;0;1623294497777;4;15;46;241;12.85;0.46;19.25;1.11;42;0;0;36.00;0
4;0;1623294497864;4;17;48;241;12.77;0.46;19.25;1.10;44;0;0;37.00;0
5;0;1623294497952;5;17;50;241;12.67;0.46;18.80;1.10;45;0;0;38.00;0
6;0;1623294498039;6;19;51;241;12.14;0.44;18.33;1.10;45;0;0;39.00;0
7;0;1623294498125;7;18;51;241;11.09;0.40;17.71;1.10;44;0;0;40.00;0
8;0;1623294498212;8;18;52;241;10.64;0.38;19.75;1.10;44;0;0;41.00;0
8;0;1623294498300;8;20;52;241;10.10;0.36;19.75;1.10;44;0;0;42.00;0
9;0;1623294498387;9;20;53;241;9.64;0.35;19.00;1.09;44;0;0;43.00;0
12;0;1623294498473;12;23;54;241;8.01;0.29;17.83;1.09;42;0;0;44.00;0
12;0;1623294498560;12;19;54;241;7.49;0.27;17.83;1.09;42;0;0;45.00;0
12;0;1623294498648;12;17;59;241;9.01;0.32;17.83;1.08;47;0;0;46.00;0
12;0;1623294498736;12;16;60;241;8.89;0.32;17.83;1.08;48;0;0;47.00;0
12;0;1623294498823;12;16;61;241;8.94;0.32;17.83;1.08;49;0;0;48.00;0
13;0;1623294498909;13;14;62;241;8.43;0.30;18.92;1.08;49;0;0;49.00;0
13;0;1623294498996;13;14;62;241;8.03;0.29;18.92;1.08;49;0;0;50.00;0
13;0;1623294499083;13;14;62;241;7.77;0.28;18.92;1.08;49;0;0;51.00;0
13;0;1623294499171;13;13;62;241;7.61;0.27;18.92;1.08;49;0;0;52.00;0
14;0;1623294499259;14;14;62;241;6.95;0.25;20.14;1.08;48;0;0;53.00;0
14;0;1623294499346;14;15;63;241;6.97;0.25;20.14;1.08;49;0;0;54.00;0
14;0;1623294499432;14;15;64;241;7.26;0.26;20.14;1.08;50;0;0;55.00;0
15;0;1623294499519;15;17;64;241;6.77;0.24;20.33;1.08;49;0;0;56.00;0
16;0;1623294499606;16;19;64;241;6.30;0.23;22.31;1.08;48;0;0;57.00;0
16;0;1623294499693;16;16;64;241;6.60;0.24;22.31;1.08;48;0;0;58.00;0
17;0;1623294499781;17;14;64;241;6.53;0.23;24.18;1.08;47;0;0;59.00;0
17;0;1623294499868;17;13;65;241;7.32;0.26;24.18;1.08;48;0;0;60.00;0
18;0;1623294499954;18;16;65;241;7.40;0.27;25.56;1.08;47;0;0;61.00;0
20;0;1623294500041;20;16;66;241;7.38;0.27;27.55;1.08;46;0;0;62.00;0
20;0;1623294500128;20;17;69;241;8.69;0.31;27.55;1.07;49;0;0;63.00;0
20;0;1623294500215;20;17;69;241;8.70;0.31;27.55;1.07;49;0;0;64.00;0
20;0;1623294500303;20;16;70;241;8.97;0.32;27.55;1.07;50;0;0;65.00;0
21;0;1623294500391;21;15;70;241;8.83;0.32;28.14;1.07;49;0;0;66.00;0
21;0;1623294500478;21;14;73;241;9.84;0.35;28.14;1.07;52;0;0;67.00;0
24;0;1623294500564;24;13;73;241;8.98;0.32;29.67;1.07;49;0;0;68.00;0
24;0;1623294500651;24;12;73;241;9.18;0.33;29.67;1.07;49;0;0;69.00;0
25;0;1623294500738;25;13;73;241;8.92;0.32;31.08;1.07;48;0;0;70.00;0
25;0;1623294500826;25;11;73;241;9.06;0.33;31.08;1.07;48;0;0;71.00;0
26;0;1623294500914;26;11;74;241;8.89;0.32;31.77;1.07;48;0;0;72.00;0
26;0;1623294501001;26;9;76;241;9.89;0.36;31.77;1.07;50;0;0;73.00;0
27;0;1623294501087;27;10;77;241;10.08;0.36;33.22;1.06;50;0;0;74.00;0
27;0;1623294501174;27;11;79;241;11.10;0.40;33.22;1.06;52;0;0;75.00;0
27;0;1623294501261;27;11;80;241;11.84;0.43;33.22;1.06;53;0;0;76.00;1
29;0;1623294501349;29;11;81;241;12.04;0.43;35.59;1.07;52;0;0;77.00;0
31;0;1623294501435;31;11;81;241;11.66;0.42;36.65;1.07;50;0;0;78.00;0
31;0;1623294501522;31;12;83;241;12.25;0.44;36.65;1.07;52;0;0;79.00;0
31;0;1623294501609;31;14;84;241;12.55;0.45;36.65;1.07;53;0;0;80.00;0
31;0;1623294501696;31;14;84;241;12.52;0.45;36.65;1.07;53;0;0;81.00;0
33;0;1623294501784;33;15;85;241;12.24;0.44;37.91;1.06;52;0;0;82.00;0
36;0;1623294501872;36;15;85;241;11.37;0.41;38.17;1.06;49;0;0;83.00;0
36;0;1623294501959;36;15;86;241;11.51;0.41;38.17;1.06;50;0;0;84.00;1
37;0;1623294502045;37;17;88;241;12.04;0.43;38.59;1.07;51;0;0;85.00;1
38;0;1623294502132;38;18;89;241;11.88;0.43;38.63;1.08;51;0;0;86.00;1
40;0;1623294502219;40;17;92;241;12.01;0.43;39.33;1.09;52;0;0;87.00;0
40;0;1623294502307;40;18;93;241;12.03;0.43;39.33;1.09;53;0;0;88.00;0
42;0;1623294502394;42;19;94;241;11.45;0.41;39.07;1.09;52;0;0;89.00;0
43;0;1623294502480;43;16;95;241;11.50;0.41;39.86;1.08;52;0;0;90.00;0
44;0;1623294502567;44;13;95;241;11.32;0.41;40.43;1.08;51;0;0;91.00;0
46;0;1623294502654;46;11;96;241;10.93;0.39;40.70;1.08;50;0;0;92.00;0
