step_arrived;step_collisions;step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_stopped;step_teleports;step_time;step_waiting
0;0;1622715525203;0;0;0;1;-1.00;-1.00;-1.00;-1.00;0;0;0;0.00;0
0;0;1622715525203;0;0;1;88;29.45;1.06;-1.00;1.00;1;0;0;1.00;0
0;0;1622715525211;0;0;1;88;28.36;1.02;-1.00;1.00;1;0;0;2.00;0
0;0;1622715525212;0;0;2;88;27.55;0.99;-1.00;1.00;2;0;0;3.00;0
0;0;1622715525212;0;0;2;88;27.42;0.99;-1.00;1.00;2;0;0;4.00;0
0;0;1622715525212;0;0;3;88;26.22;0.94;-1.00;1.00;3;0;0;5.00;0
0;0;1622715525212;0;0;3;88;24.56;0.88;-1.00;1.00;3;0;0;6.00;0
0;0;1622715525212;0;0;3;88;22.67;0.82;-1.00;1.00;3;0;0;7.00;0
0;0;1622715525212;0;0;3;88;21.07;0.76;-1.00;1.00;3;0;0;8.00;0
0;0;1622715525212;0;0;3;88;19.66;0.71;-1.00;1.00;3;0;0;9.00;0
0;0;1622715525213;0;0;3;88;19.53;0.70;-1.00;1.00;3;0;0;10.00;0
0;0;1622715525213;0;0;3;88;19.98;0.72;-1.00;1.00;3;0;0;11.00;0
0;0;1622715525213;0;0;4;88;22.70;0.82;-1.00;1.00;4;0;0;12.00;0
1;0;1622715525213;1;0;4;88;22.50;0.81;10.00;1.00;3;0;0;13.00;0
1;0;1622715525213;1;0;4;88;21.62;0.78;10.00;1.00;3;0;0;14.00;0
1;0;1622715525213;1;0;5;88;20.94;0.75;10.00;1.00;4;0;0;15.00;0
1;0;1622715525213;1;0;5;88;20.42;0.73;10.00;1.00;4;0;0;16.00;0
1;0;1622715525213;1;0;7;88;20.79;0.75;10.00;1.00;6;0;0;17.00;0
1;0;1622715525213;1;0;7;88;19.61;0.71;10.00;1.00;6;0;0;18.00;0
1;0;1622715525213;1;0;9;88;19.60;0.71;10.00;1.00;8;0;0;19.00;0
1;0;1622715525214;1;1;10;88;19.11;0.69;10.00;1.00;9;0;0;20.00;0
2;0;1622715525214;2;2;10;88;16.48;0.59;9.50;1.00;8;0;0;21.00;0
2;0;1622715525214;2;2;11;88;15.94;0.57;9.50;1.00;9;0;0;22.00;0
