timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
0.00;;;;;;;;;
1.00;83.07;63;695504114#1_0;5.10;0.00;29.45;DEFAULT_VEHTYPE;14.80;796.30
2.00;83.07;63;695504114#1_0;33.46;0.00;28.36;DEFAULT_VEHTYPE;42.97;799.72
3.00;349.83;283;-39368999#0_0;5.10;0.00;26.07;DEFAULT_VEHTYPE;225.99;522.82
3.00;83.07;63;695504114#1_0;62.49;0.00;29.03;DEFAULT_VEHTYPE;71.80;803.22
4.00;351.81;283;-39368999#0_1;30.94;0.00;25.84;DEFAULT_VEHTYPE;218.91;547.80
4.00;81.99;63;695504114#1_0;91.68;0.00;29.19;DEFAULT_VEHTYPE;100.77;806.88
5.00;351.81;283;-39368999#0_1;56.39;0.00;25.44;DEFAULT_VEHTYPE;215.29;573.00
5.00;261.79;519;695446624#0_0;5.10;0.00;13.71;DEFAULT_VEHTYPE;219.08;842.18
5.00;81.99;63;695504114#1_0;116.36;0.00;24.69;DEFAULT_VEHTYPE;125.22;810.32
6.00;351.81;283;-39368999#0_1;81.54;0.00;25.16;DEFAULT_VEHTYPE;211.70;597.91
6.00;261.82;519;695446624#0_1;18.53;0.00;13.43;DEFAULT_VEHTYPE;206.24;837.10
6.00;81.99;63;695504114#1_0;136.55;0.00;20.19;DEFAULT_VEHTYPE;145.22;813.13
7.00;352.92;283;-39368999#0_1;106.34;0.00;24.79;DEFAULT_VEHTYPE;208.56;622.51
7.00;261.83;519;:6530229491_0_2;3.44;0.00;8.93;DEFAULT_VEHTYPE;197.86;832.66
7.00;81.95;63;:6530229489_0_0;4.81;0.00;15.69;DEFAULT_VEHTYPE;160.76;815.32
8.00;352.88;283;-39368999#0_1;132.31;0.00;25.98;DEFAULT_VEHTYPE;205.34;648.30
8.00;253.80;519;:cluster_2991819236_420249033_4_0;3.44;0.00;8.92;DEFAULT_VEHTYPE;189.23;830.73
8.00;81.97;63;695504114#2_0;11.00;0.00;11.19;DEFAULT_VEHTYPE;171.86;816.89
9.00;352.88;283;-39368999#0_1;157.85;0.00;25.54;DEFAULT_VEHTYPE;202.18;673.65
9.00;236.42;519;:cluster_2991819236_420249033_4_0;7.86;0.00;4.42;DEFAULT_VEHTYPE;185.74;828.24
9.00;109.88;63;:cluster_2991819236_420249033_10_0;5.53;0.00;6.69;DEFAULT_VEHTYPE;177.97;815.44
10.00;352.74;283;-39368999#0_1;182.83;0.00;24.98;DEFAULT_VEHTYPE;199.07;698.44
10.00;200.38;519;:cluster_2991819236_420249033_20_0;4.96;0.00;6.80;DEFAULT_VEHTYPE;182.83;822.27
10.00;166.60;63;695429325#0_0;2.05;0.00;5.55;DEFAULT_VEHTYPE;179.46;810.20
11.00;352.74;283;-39368999#0_1;208.15;0.00;25.33;DEFAULT_VEHTYPE;195.87;723.57
11.00;179.19;519;:cluster_2991819236_420249033_20_0;13.48;0.00;8.53;DEFAULT_VEHTYPE;182.39;813.82
11.00;173.61;63;695429325#1_0;0.24;0.00;7.54;DEFAULT_VEHTYPE;180.29;802.80
12.00;349.83;245;-39368999#0_0;5.10;0.00;30.08;DEFAULT_VEHTYPE;225.99;522.82
12.00;353.63;283;-39368999#0_1;233.37;0.00;25.21;DEFAULT_VEHTYPE;192.78;748.61
12.00;173.61;519;695429325#0_1;8.25;0.00;9.48;DEFAULT_VEHTYPE;183.33;804.39
12.00;173.62;63;695429325#1_0;9.12;0.00;8.88;DEFAULT_VEHTYPE;181.27;793.97
13.00;351.81;245;-39368999#0_1;34.47;0.00;29.37;DEFAULT_VEHTYPE;218.41;551.29
13.00;353.63;283;-39368999#0_1;254.58;0.00;21.21;DEFAULT_VEHTYPE;190.43;769.70
13.00;173.62;519;695429325#1_1;9.78;0.00;10.88;DEFAULT_VEHTYPE;184.53;793.67
13.00;173.62;63;695429325#1_0;20.06;0.00;10.94;DEFAULT_VEHTYPE;182.49;783.10
14.00;351.81;245;-39368999#0_1;63.80;0.00;29.34;DEFAULT_VEHTYPE;214.23;580.34
14.00;353.62;283;-695429325#1_1;11.53;0.00;16.71;DEFAULT_VEHTYPE;188.57;786.32
14.00;173.62;519;695429325#1_1;22.38;0.00;12.60;DEFAULT_VEHTYPE;185.93;781.15
14.00;173.56;63;39368999#0_0;3.23;0.00;12.54;DEFAULT_VEHTYPE;183.89;770.64
15.00;352.51;245;-39368999#0_1;92.61;0.00;28.81;DEFAULT_VEHTYPE;210.15;608.87
15.00;353.62;283;-695429325#1_1;24.65;0.00;13.13;DEFAULT_VEHTYPE;187.11;799.36
15.00;173.64;519;39368999#0_1;7.80;0.00;14.79;DEFAULT_VEHTYPE;187.57;766.45
15.00;173.64;63;39368999#0_0;17.79;0.00;14.56;DEFAULT_VEHTYPE;185.50;756.16
16.00;352.88;245;-39368999#0_1;121.99;0.00;29.38;DEFAULT_VEHTYPE;206.62;638.05
16.00;353.61;283;-695429325#0_1;4.11;0.00;8.63;DEFAULT_VEHTYPE;186.16;807.83
16.00;173.64;519;39368999#0_1;25.08;0.00;17.28;DEFAULT_VEHTYPE;189.49;749.29
16.00;173.37;63;39368999#0_0;34.18;0.00;16.39;DEFAULT_VEHTYPE;187.34;739.87
17.00;352.88;245;-39368999#0_1;151.83;0.00;29.84;DEFAULT_VEHTYPE;202.92;667.66
17.00;353.61;283;-695429325#0_1;8.24;0.00;4.13;DEFAULT_VEHTYPE;185.70;811.93
17.00;172.75;519;39368999#0_1;44.23;0.00;19.15;DEFAULT_VEHTYPE;191.79;730.29
17.00;172.74;63;39368999#0_0;52.91;0.00;18.73;DEFAULT_VEHTYPE;189.71;721.28
17.00;83.07;88;695504114#1_0;5.10;0.00;28.62;DEFAULT_VEHTYPE;14.80;796.30
18.00;352.76;245;-39368999#0_1;180.77;0.00;28.94;DEFAULT_VEHTYPE;199.33;696.40
18.00;353.61;283;-695429325#0_1;8.25;0.00;0.01;DEFAULT_VEHTYPE;185.70;811.94
18.00;172.75;519;39368999#0_1;65.92;0.00;21.69;DEFAULT_VEHTYPE;194.53;708.77
18.00;172.74;63;39368999#0_0;74.16;0.00;21.25;DEFAULT_VEHTYPE;192.40;700.19
18.00;83.07;88;695504114#1_0;33.12;0.00;28.02;DEFAULT_VEHTYPE;42.63;799.68
19.00;352.74;245;-39368999#0_1;208.63;0.00;27.86;DEFAULT_VEHTYPE;195.81;724.05
19.00;353.61;283;-695429325#0_1;8.25;0.00;0.00;DEFAULT_VEHTYPE;185.70;811.95
19.00;172.92;519;39368999#0_1;89.83;0.00;23.91;DEFAULT_VEHTYPE;197.52;685.07
19.00;172.89;63;39368999#0_0;97.09;0.00;22.93;DEFAULT_VEHTYPE;195.26;677.43
