tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
25.00;39368999#0_0;259.89;29.41;1.00;0.21;695504114#1_0;5.10;29.45;tripinfo_63 fcd_63;24.00;63;0;467.13;1.06;0.00;7.21;DEFAULT_VEHTYPE;;0;0.00
28.00;695490087#1_0;110.06;24.48;20.00;0.39;695446624#0_0;5.10;24.61;tripinfo_412 fcd_412;8.00;412;0;176.33;0.89;0.00;0.17;DEFAULT_VEHTYPE;;0;0.00
42.00;39368999#0_0;259.89;27.60;17.00;0.28;695504114#1_0;5.10;28.62;tripinfo_88 fcd_88;25.00;88;0;467.13;1.03;0.00;7.07;DEFAULT_VEHTYPE;;0;0.00
54.00;695446623#1_0;50.37;20.64;24.00;0.95;-39368999#0_0;5.10;26.05;tripinfo_391 fcd_391;30.00;391;0;387.41;0.94;0.00;14.58;DEFAULT_VEHTYPE;;1;4.00
57.00;695504114#4_0;49.75;16.51;5.00;0.23;695446624#0_0;5.10;13.71;tripinfo_519 fcd_519;52.00;519;0;722.30;1.01;0.00;21.94;DEFAULT_VEHTYPE;;0;0.00
58.00;695504114#4_2;49.75;17.51;19.00;0.03;-695446623#1_0;5.10;20.87;tripinfo_747 fcd_747;39.00;747;0;142.02;1.05;0.00;32.48;DEFAULT_VEHTYPE;;2;21.00
58.00;695446623#1_0;50.37;17.14;47.00;0.10;695446624#0_0;5.10;13.71;tripinfo_570 fcd_570;11.00;570;0;101.36;1.05;0.00;6.40;DEFAULT_VEHTYPE;;0;0.00
60.00;695490087#1_2;110.06;25.69;12.00;0.88;-39368999#0_0;5.10;30.08;tripinfo_245 fcd_245;48.00;245;0;444.49;1.08;0.00;31.47;DEFAULT_VEHTYPE;;1;20.00
60.00;695446623#1_1;50.37;16.29;48.00;0.05;-695446623#1_0;5.10;20.87;tripinfo_769 fcd_769;12.00;769;0;128.50;1.12;0.00;6.98;DEFAULT_VEHTYPE;;0;0.00
64.00;39368999#0_1;259.89;25.56;3.00;0.17;-39368999#0_0;5.10;26.07;tripinfo_283 fcd_283;61.00;283;0;596.38;0.94;0.00;36.22;DEFAULT_VEHTYPE;;1;27.00
78.00;695446623#1_1;50.37;15.96;64.00;0.68;-695446623#1_0;5.10;20.87;tripinfo_759 fcd_759;14.00;759;0;128.50;0.94;0.00;7.01;DEFAULT_VEHTYPE;;0;0.00
82.00;695490087#1_2;110.06;22.28;19.00;0.61;695504114#1_1;5.10;23.09;tripinfo_9 fcd_9;63.00;9;0;921.40;0.83;0.00;19.20;DEFAULT_VEHTYPE;;0;0.00
88.00;695504114#4_2;49.75;18.91;77.00;0.95;-695446623#1_0;5.10;20.87;tripinfo_709 fcd_709;11.00;709;0;142.02;1.02;0.00;4.48;DEFAULT_VEHTYPE;;0;0.00
96.00;695504114#4_1;49.75;19.10;82.00;0.37;695504114#1_0;5.10;27.09;tripinfo_111 fcd_111;14.00;111;0;239.51;0.98;0.00;5.10;DEFAULT_VEHTYPE;;0;0.00
98.00;695504114#4_0;49.75;18.14;40.00;0.97;695504114#1_0;5.10;28.51;tripinfo_142 fcd_142;58.00;142;0;239.51;1.03;0.00;49.30;DEFAULT_VEHTYPE;;1;38.00
102.00;695446623#1_0;50.37;17.14;71.00;0.28;695446624#0_0;5.10;11.23;tripinfo_596 fcd_596;31.00;596;0;101.36;0.94;0.00;25.94;DEFAULT_VEHTYPE;;1;18.00
105.00;695446623#1_0;50.37;16.91;74.00;0.02;695446624#0_1;5.10;11.28;tripinfo_586 fcd_586;31.00;586;0;101.36;1.16;0.00;26.73;DEFAULT_VEHTYPE;;1;17.00
107.00;695446623#1_1;50.37;17.47;37.00;0.14;695504114#1_0;5.10;23.81;tripinfo_198 fcd_198;70.00;198;0;248.31;0.86;0.00;57.48;DEFAULT_VEHTYPE;;2;45.00
110.00;695490087#1_2;110.06;24.73;78.00;0.11;695446624#0_2;5.10;10.95;tripinfo_418 fcd_418;32.00;418;0;176.33;1.01;0.00;25.50;DEFAULT_VEHTYPE;;2;14.00
120.00;39368999#0_0;259.89;13.17;59.00;0.77;695446624#0_0;5.10;13.71;tripinfo_450 fcd_450;61.00;450;0;350.89;0.88;0.00;44.87;DEFAULT_VEHTYPE;;2;33.00
127.00;695504114#4_0;49.75;25.21;117.00;0.41;695504114#1_0;5.10;25.87;tripinfo_129 fcd_129;10.00;129;0;239.51;0.93;0.00;0.25;DEFAULT_VEHTYPE;;0;0.00
144.00;695446623#1_0;50.37;18.85;107.00;0.06;-39368999#0_0;5.10;24.24;tripinfo_399 fcd_399;37.00;399;0;387.41;0.87;0.00;20.88;DEFAULT_VEHTYPE;;1;10.00
146.00;695446623#1_0;50.37;19.75;108.00;0.07;-39368999#0_0;5.10;22.74;tripinfo_367 fcd_367;38.00;367;0;387.41;0.92;0.00;22.31;DEFAULT_VEHTYPE;;1;10.00
147.00;695504114#4_0;49.75;16.35;38.00;0.30;695446624#0_0;5.10;13.71;tripinfo_526 fcd_526;109.00;526;0;722.30;1.09;0.00;81.79;DEFAULT_VEHTYPE;;1;47.00
149.00;695490087#1_2;110.06;23.30;102.00;0.57;-39368999#0_0;5.10;24.71;tripinfo_223 fcd_223;47.00;223;0;444.49;0.89;0.00;27.23;DEFAULT_VEHTYPE;;1;16.00
150.00;695504114#4_0;49.75;16.40;55.00;0.53;695446624#0_0;5.10;13.71;tripinfo_543 fcd_543;95.00;543;0;722.30;0.99;0.00;66.22;DEFAULT_VEHTYPE;;1;32.00
150.00;695446623#1_1;50.37;19.70;119.00;4.11;-39368999#0_0;5.10;31.44;tripinfo_370 fcd_370;31.00;370;0;387.41;1.13;0.00;18.55;DEFAULT_VEHTYPE;;1;3.00
152.00;695490087#1_2;110.06;25.03;56.00;0.35;695504114#1_0;5.10;25.75;tripinfo_5 fcd_5;96.00;5;0;921.40;0.93;0.00;55.51;DEFAULT_VEHTYPE;;1;25.00
153.00;39368999#0_0;259.89;25.11;109.00;0.75;-695446623#1_0;5.10;20.87;tripinfo_693 fcd_693;44.00;693;0;387.69;0.95;0.00;28.76;DEFAULT_VEHTYPE;;1;19.00
159.00;695504114#4_0;49.75;17.14;106.00;0.82;695446624#0_0;5.10;13.71;tripinfo_508 fcd_508;53.00;508;0;722.30;0.83;0.00;16.68;DEFAULT_VEHTYPE;;0;0.00
160.00;695490087#1_0;110.06;24.82;146.00;0.14;-695446623#1_0;5.10;26.09;tripinfo_646 fcd_646;14.00;646;0;196.03;1.18;0.00;5.97;DEFAULT_VEHTYPE;;0;0.00
170.00;695504114#4_0;49.75;15.05;151.00;0.60;-39368999#0_0;5.10;27.92;tripinfo_318 fcd_318;19.00;318;0;361.63;1.01;0.00;5.24;DEFAULT_VEHTYPE;;0;0.00
175.00;695490087#1_0;110.06;24.50;160.00;0.46;-695446623#1_0;5.10;26.09;tripinfo_648 fcd_648;15.00;648;0;196.03;1.02;0.00;6.47;DEFAULT_VEHTYPE;;0;0.00
189.00;695504114#4_0;49.75;28.12;180.00;0.48;695504114#1_0;5.10;28.62;tripinfo_137 fcd_137;9.00;137;0;239.51;1.03;0.00;0.46;DEFAULT_VEHTYPE;;0;0.00
191.00;695490087#1_0;110.06;22.75;147.00;0.06;695446624#0_0;5.10;13.71;tripinfo_400 fcd_400;44.00;400;0;176.33;1.15;0.00;38.45;DEFAULT_VEHTYPE;;1;26.00
191.00;695446623#1_0;50.37;16.82;154.00;0.38;695446624#0_1;5.10;13.71;tripinfo_564 fcd_564;37.00;564;0;101.36;0.99;0.00;32.32;DEFAULT_VEHTYPE;;2;24.00
193.00;695446623#1_0;50.37;17.27;168.00;0.24;695446624#0_0;5.10;10.95;tripinfo_566 fcd_566;25.00;566;0;101.36;1.18;0.00;20.50;DEFAULT_VEHTYPE;;2;9.00
194.00;695490087#1_2;110.06;24.25;172.00;0.56;695446624#0_1;5.10;11.28;tripinfo_405 fcd_405;22.00;405;0;176.33;0.90;0.00;14.29;DEFAULT_VEHTYPE;;1;6.00
197.00;39368999#0_0;259.89;26.01;170.00;0.25;695504114#1_1;5.10;30.62;tripinfo_92 fcd_92;27.00;92;0;467.13;1.10;0.00;10.69;DEFAULT_VEHTYPE;;0;0.00
205.00;39368999#0_1;259.89;25.73;183.00;0.58;695446624#0_1;5.10;13.71;tripinfo_457 fcd_457;22.00;457;0;350.89;0.96;0.00;6.03;DEFAULT_VEHTYPE;;0;0.00
206.00;695504114#4_0;49.75;28.27;197.00;0.59;695504114#1_0;5.10;28.99;tripinfo_106 fcd_106;9.00;106;0;239.51;1.04;0.00;0.25;DEFAULT_VEHTYPE;;0;0.00
211.00;39368999#0_0;259.89;29.76;187.00;0.99;695504114#1_0;5.10;30.33;tripinfo_73 fcd_73;24.00;73;0;467.13;1.09;0.00;7.07;DEFAULT_VEHTYPE;;0;0.00
229.00;695446623#1_1;50.37;18.08;212.00;0.95;695504114#1_1;5.10;24.36;tripinfo_165 fcd_165;17.00;165;0;248.31;0.88;0.00;4.50;DEFAULT_VEHTYPE;;0;0.00
233.00;39368999#0_0;259.89;27.00;208.00;0.28;695504114#1_0;5.10;27.71;tripinfo_62 fcd_62;25.00;62;0;467.13;1.00;0.00;7.04;DEFAULT_VEHTYPE;;0;0.00
234.00;695446623#1_0;50.37;18.53;188.00;0.47;-39368999#0_0;5.10;28.83;tripinfo_378 fcd_378;46.00;378;0;387.41;1.04;0.00;32.51;DEFAULT_VEHTYPE;;1;22.00
235.00;695504114#4_0;49.75;18.11;154.00;0.72;695446624#0_0;5.10;10.95;tripinfo_546 fcd_546;81.00;546;0;722.30;1.17;0.00;56.21;DEFAULT_VEHTYPE;;3;22.00
237.00;695490087#1_2;110.06;24.80;164.00;0.98;695504114#1_0;5.10;27.04;tripinfo_19 fcd_19;73.00;19;0;921.40;0.97;0.00;33.73;DEFAULT_VEHTYPE;;1;9.00
238.00;695504114#4_0;49.75;14.15;209.00;0.96;-39368999#0_0;5.10;25.02;tripinfo_333 fcd_333;29.00;333;0;361.63;0.90;0.00;13.08;DEFAULT_VEHTYPE;;1;2.00
240.00;695446623#1_0;50.37;27.34;225.00;0.93;-39368999#0_0;5.10;28.25;tripinfo_362 fcd_362;15.00;362;0;387.41;1.02;0.00;0.42;DEFAULT_VEHTYPE;;0;0.00
